Drink,Number of Calories,Carbohydrate Content
Cafe Latte,190,18
Cafe Mocha,260,41
Cappucino,260,41
Caramel Macchiato,240,34
Cinnamon Dolce Latte,260,40
Flavoured Latte,250,36
Iced Cafe Latte,130,13
Iced Cafe Mocha,200,35
Iced Caramel Macchiato,230,33
Iced Peppermint Mocha,260,52
Iced Peppermint White Chocolate Mocha,400,72
Iced Pumpkin Spiced Latte,250,44
Iced Skinny Flavoured Latte,110,12
Iced Toffee Mocha,280,51
Iced White Chocolate Mocha,340,55
Peppermint Mocha,330,57
Peppermint White Chocolate Mocha,470,78
Pumpkin Spiced Latte,310,49
Skinny Cinnamon Dolce Latte,180,18
Skinny Flavoured Latte,180,18
Toffee Mocha,350,58
White Chocolate Mocha,400,61
