Item,Fat,Calories,Sodium,Sugar
Item_1,41.6,733,1977,31
Item_2,47.6,786,471,46
Item_3,49.4,802,1269,31
Item_4,38.9,669,886,51
Item_5,21.9,422,1946,33
Item_6,8.8,275,1716,34
Item_7,40.0,695,1709,53
Item_8,30.1,595,1044,24
Item_9,24.1,502,947,8
Item_10,45.8,820,692,2
Item_11,10.0,267,301,45
Item_12,27.2,539,1757,37
Item_13,5.5,237,1663,42
Item_14,26.1,565,1999,13
Item_15,7.5,234,1994,8
Item_16,10.3,269,1200,1
Item_17,10.3,276,1584,21
Item_18,34.2,541,1901,35
Item_19,38.6,646,1729,24
Item_20,31.3,543,645,26
Item_21,48.3,792,1011,54
Item_22,21.9,455,432,21
Item_23,17.9,448,1917,31
Item_24,44.1,762,1291,47
Item_25,15.1,338,612,24
Item_26,48.3,762,1409,37
Item_27,5.5,247,1313,52
Item_28,48.6,753,845,57
Item_29,6.9,305,404,9
Item_30,45.1,782,1409,56
