MemberID,Age,Gender,Membership
1,48,M,Premium
2,29,M,Basic
3,52,M,Premium
4,63,M,Premium
5,31,F,Elite
6,30,F,Basic
7,52,M,Premium
8,54,M,Elite
9,29,F,Basic
10,30,M,Elite
11,32,F,Premium
12,19,F,Basic
13,24,F,Basic
14,23,F,Premium
15,26,F,Basic
16,35,M,Premium
17,38,F,Basic
18,54,F,Premium
19,23,M,Basic
20,47,F,Elite
21,32,F,Elite
22,34,F,Elite
23,43,F,Premium
24,22,F,Basic
25,40,F,Premium
26,37,F,Basic
27,41,F,Basic
28,38,F,Basic
29,64,F,Basic
30,27,F,Premium
31,29,M,Premium
32,28,F,Basic
33,28,F,Basic
34,27,M,Elite
35,49,F,Basic
36,52,M,Basic
37,28,M,Basic
38,25,F,Premium
39,41,M,Premium
40,28,F,Basic
41,43,F,Basic
42,37,F,Premium
43,18,M,Premium
44,54,M,Basic
45,57,F,Elite
46,28,F,Basic
47,30,F,Basic
48,38,M,Elite
49,39,F,Basic
50,43,F,Premium
