HouseID,Age,Price,Bedrooms,Area
1,20,291000,3,1829
2,8,384000,3,1923
3,24,273000,4,1116
4,29,334000,3,1261
5,25,244000,3,2097
6,4,368000,3,1868
7,24,374000,2,1726
8,12,202000,2,1807
9,32,246000,3,1939
10,29,321000,3,1584
11,16,308000,5,1489
12,20,329000,3,1878
13,14,292000,3,1409
14,24,306000,4,1963
15,35,272000,2,1119
16,15,378000,4,2212
17,30,303000,2,1989
18,20,327000,5,1902
19,17,295000,2,2193
20,24,278000,3,2466
21,15,298000,2,2206
22,19,332000,5,1064
23,13,303000,3,1288
24,45,274000,3,1550
25,25,404000,2,1810
26,18,358000,4,2007
27,27,280000,3,1510
28,24,362000,4,1875
29,23,284000,3,1498
30,31,186000,2,1555
31,33,234000,2,1237
32,20,216000,3,1431
33,19,294000,3,1259
34,22,307000,2,1410
35,2,430000,4,2221
36,10,346000,3,1420
37,39,261000,3,2853
38,41,309000,3,1997
39,23,193000,3,1874
40,31,300000,3,1457
41,28,333000,2,2080
42,56,164000,2,1570
43,36,335000,4,1849
44,24,319000,5,2824
45,15,299000,3,1762
46,9,364000,3,2260
47,27,410000,4,1519
48,17,325000,3,1786
49,11,340000,2,2508
50,19,289000,2,1549
51,14,280000,4,2525
52,42,308000,4,2083
53,34,239000,2,1575
54,25,304000,3,2053
55,40,246000,3,2189
56,26,322000,4,2049
57,16,335000,2,1172
58,40,322000,2,1509
59,30,264000,4,1701
60,15,307000,2,1770
61,23,255000,4,2048
62,16,296000,3,1871
63,11,347000,2,1266
64,34,320000,3,1952
65,44,216000,4,2044
66,11,371000,4,2024
67,31,356000,4,2232
68,18,335000,3,2134
69,20,404000,4,1984
70,19,273000,3,1772
71,16,256000,3,1136
72,25,211000,4,1972
73,17,391000,2,1883
74,28,327000,2,1909
75,24,299000,3,1289
76,23,318000,2,1368
77,16,262000,2,2221
78,19,434000,3,1784
79,33,290000,3,2073
80,30,295000,4,1811
81,15,356000,4,1812
82,26,322000,3,2175
83,33,295000,3,1594
84,8,294000,3,1838
85,30,314000,3,1615
86,18,408000,3,1626
87,31,355000,4,1676
88,17,396000,3,1889
89,7,310000,3,1609
90,9,283000,3,2302
91,25,294000,3,1442
92,28,297000,5,1725
93,16,373000,4,1624
94,31,203000,2,2379
95,8,410000,4,1879
96,24,294000,3,2213
97,13,303000,4,1206
98,18,263000,4,1907
99,25,217000,3,2156
100,16,359000,2,1833
