Gender,Smokes,Height,StudyHours,Pulse
M,Y,175,11,73
F,Y,175,10,71
F,Y,171,11,68
M,Y,175,13,66
F,N,175,10,61
M,Y,171,10,70
M,N,181,13,68
F,N,176,12,75
F,Y,169,9,70
F,N,177,11,65
F,N,170,9,70
F,Y,177,9,77
F,N,179,10,73
M,N,171,6,75
F,N,178,7,79
M,N,176,9,73
M,N,177,8,79
M,N,182,11,66
M,Y,173,8,73
F,N,171,7,74
F,N,170,13,59
F,N,171,10,72
M,N,174,10,72
M,N,175,7,76
M,N,175,9,72
M,N,177,10,64
F,N,174,8,72
F,N,180,11,68
F,N,173,9,69
M,N,185,9,72
F,N,177,9,75
F,Y,171,14,74
F,N,170,10,72
F,N,176,8,76
M,N,173,12,67
M,N,177,8,65
M,N,176,10,71
F,N,174,6,78
M,Y,171,7,88
M,N,168,10,70
M,Y,172,11,71
M,N,177,10,71
F,N,175,10,65
F,N,169,9,78
M,N,175,7,80
M,N,176,9,77
M,N,170,9,68
M,N,175,12,75
M,N,174,11,62
M,N,169,6,81
M,N,175,11,80
F,N,176,9,68
F,N,178,9,70
M,Y,178,11,70
M,N,168,12,65
F,Y,170,12,60
F,N,176,8,75
F,N,176,9,67
F,N,176,11,72
M,N,189,12,63
M,Y,176,9,80
F,Y,179,10,67
M,N,178,8,73
F,N,177,8,78
F,Y,173,12,61
F,Y,177,13,67
M,N,171,10,78
F,Y,173,12,60
M,N,172,11,70
F,N,174,9,74
F,Y,183,11,73
M,Y,167,13,60
F,N,177,10,64
F,N,168,13,69
M,N,172,5,81
